rank,slug,url,clicks,impressions,ctr,pos,target_1pct_clicks,gap_to_1pct
1,freepik-ai-image-generator-review,https://www.lovart.ai/blog/freepik-ai-image-generator-review,111,70935,0.2,8.0,709,598
2,artlist-ai-review,https://www.lovart.ai/blog/artlist-ai-review,22,12899,0.2,5.8,129,107
3,video-generators-review,https://www.lovart.ai/blog/video-generators-review,2,12542,0.0,4.8,125,123
4,flora-ai-review,https://www.lovart.ai/blog/flora-ai-review,48,12510,0.4,7.1,125,77
5,openart-ai-review,https://www.lovart.ai/pt/blog/openart-ai-review,15,12261,0.1,8.1,123,108
6,luma-dream-machine-review,https://www.lovart.ai/blog/luma-dream-machine-review,15,10742,0.1,8.3,107,92
7,civit-ai-review,https://www.lovart.ai/blog/civit-ai-review,13,10545,0.1,7.2,105,92
8,pixai-review,https://www.lovart.ai/blog/pixai-review,19,9411,0.2,6.7,94,75
9,leonardo-ai-review,https://www.lovart.ai/blog/leonardo-ai-review,7,8700,0.1,4.3,87,80
10,luma-dream-machine-review-2025-features-pricing-and-honest-performance-test,https://www.lovart.ai/blog/luma-dream-machine-review-2025-features-pricing-and-honest-performance-test,2,7862,0.0,7.9,79,77
11,complete-guide-consistent-ai-character-design,https://www.lovart.ai/blog/complete-guide-consistent-ai-character-design,12,7376,0.2,8.2,74,62
12,ai-art-copyright-2026,https://www.lovart.ai/blog/ai-art-copyright-2026,5,7033,0.1,7.6,70,65
13,hedra-ai-review,https://www.lovart.ai/blog/hedra-ai-review,17,6781,0.3,6.7,68,51
14,heygen-review,https://www.lovart.ai/blog/heygen-review,1,5350,0.0,17.1,54,53
15,loveart-ai-business-creative-workflows,https://www.lovart.ai/blog/loveart-ai-business-creative-workflows,8,4486,0.2,1.1,45,37
16,video-generators-review,https://www.lovart.ai/ko/blog/video-generators-review,4,3866,0.1,7.5,39,35
17,runway-alternatives,https://www.lovart.ai/blog/runway-alternatives,6,3859,0.2,5.8,39,33
18,capcut-ai-review-2025-features-pros-cons-and-honest-verdict,https://www.lovart.ai/blog/capcut-ai-review-2025-features-pros-cons-and-honest-verdict,2,3446,0.1,8.7,34,32
19,pika-ai-review,https://www.lovart.ai/blog/pika-ai-review,6,2297,0.3,7.7,23,17
20,complete-guide-ai-face-swap-photo-video,https://www.lovart.ai/blog/complete-guide-ai-face-swap-photo-video,5,2280,0.2,8.3,23,18
21,complete-guide-image-upscaling-resolution-ai,https://www.lovart.ai/blog/complete-guide-image-upscaling-resolution-ai,1,2218,0.0,10.6,22,21
22,deepai-review,https://www.lovart.ai/blog/deepai-review,17,2181,0.8,7.7,22,5
23,pixverse-ai-review,https://www.lovart.ai/blog/pixverse-ai-review,8,2026,0.4,8.7,20,12
24,pollo-ai-review,https://www.lovart.ai/de/blog/pollo-ai-review,6,1996,0.3,7.6,20,14
25,ai-image-models-compared-2026,https://www.lovart.ai/blog/ai-image-models-compared-2026,1,1962,0.1,7.6,20,19
26,ai-powered-design-agent-for-creators,https://www.lovart.ai/blog/ai-powered-design-agent-for-creators,1,1926,0.1,5.7,19,18
27,ai-video-models-compared-2026,https://www.lovart.ai/blog/ai-video-models-compared-2026,1,1839,0.1,8.6,18,17
28,adobe-illustrator-alternatives,https://www.lovart.ai/blog/adobe-illustrator-alternatives,6,1763,0.3,8.2,18,12
29,pollo-ai-review,https://www.lovart.ai/blog/pollo-ai-review,9,1612,0.6,7.7,16,7
30,wondershare-virbo-review,https://www.lovart.ai/blog/wondershare-virbo-review,5,1446,0.3,5.8,14,9
31,sora-ai-review,https://www.lovart.ai/blog/sora-ai-review,1,1425,0.1,8.8,14,13
32,text-to-video-ai-revolutionizing-content-creation-2026,https://www.lovart.ai/blog/text-to-video-ai-revolutionizing-content-creation-2026,1,1240,0.1,9.7,12,11
