rank,tier,slug,title,doc_id,writer_type,target_skill,upgrade_label,sprint_bucket,upgrade_score,clicks_28d,impressions_28d,position_28d,rewrite_score,chars,content_cluster,current_state,next_round,rationale,recommended_depth,recommended_action
1,A_top_100_signal_refresh,freepik-ai-image-generator-review,"Freepik AI Review 2026: Features, Pricing & Lovart Alternative",freepik-ai-image-generator-review,Review,lovart-review,pillar_candidate,pillar,4558.74,736.0,268718.0,7.31,29287.44,14391,AI Image,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 268718 impressions; 736 clicks; pos 7.3; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
2,A_top_100_signal_refresh,ai-branding-design,AI Branding Design: A Practical Lovart Workflow Guide,43c0e24b-09e2-40e1-936d-8825b95e84cb,How-To,how-to-benchmark-research,pillar_candidate,pillar,2224.94,435.0,19118.0,10.58,6249.44,8887,Brand System,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 19118 impressions; 435 clicks; pos 10.6; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
3,A_top_100_signal_refresh,ai-poster-prompts-tutorial,AI Poster Prompts Tutorial: A Practical Lovart Workflow Guide,3872afe4-9f38-4eaf-a0c7-331853fd2821,How-To,how-to-benchmark-research,pillar_candidate,pillar,1898.85,213.0,6106.0,5.71,2988.48,8927,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 6106 impressions; 213 clicks; pos 5.7; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
4,A_top_100_signal_refresh,what-is-civitai-red,What Is CivitAI Red? Complete Guide 2026 | Lovart,blog-what-is-civitai-red-en,Complete Guide,lovart-complete-guide,pillar_candidate,pillar,1899.78,45.0,18972.0,6.68,2397.76,11766,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Complete Guide; broad-intent; 18972 impressions; 45 clicks; pos 6.7; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
5,A_top_100_signal_refresh,how-to-use-veo3-free,"How to Use Veo 3.1 for Free: Unlimited Access, No Sign-Up Tricks",blog-veo3free-en,How-To,how-to-benchmark-research,deep_refresh_candidate,a_support,1681.43,154.0,5554.0,8.63,2314.32,11856,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; 5554 impressions; 154 clicks; pos 8.6; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
6,A_top_100_signal_refresh,10-best-ai-video-editing-tools-2026,"10 Best AI Video Editing Tools 2026: Tested for YouTube, TikTok & Pro Work | Lovart",10-best-ai-video-editing-tools-2026,How-To,how-to-benchmark-research,pillar_candidate,pillar,1704.96,3.0,21245.0,7.94,2159.6,15059,AI Video,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 21245 impressions; 3 clicks; pos 7.9; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
7,A_top_100_signal_refresh,craiyon-ai-review,Craiyon AI Review: A Practical Lovart Workflow Guide,craiyon-ai-review,Review,lovart-review,pillar_candidate,pillar,1805.77,42.0,10846.0,6.78,1757.68,8882,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 10846 impressions; 42 clicks; pos 6.8; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
8,A_top_100_signal_refresh,complete-guide-consistent-ai-character-design,The 2026 Complete Guide to Consistent AI Character Design,complete-guide-consistent-ai-character-design,Complete Guide,lovart-complete-guide,pillar_candidate,pillar,1769.98,19.0,13872.0,11.34,1729.76,49341,Character Consistency,signal_refresh_complete,Round 2 -> Round 3,Complete Guide; broad-intent; 13872 impressions; 19 clicks; pos 11.3; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
9,A_top_100_signal_refresh,krea-ai-video-generator-review,Krea AI Video Generator Review: A Design-First Approach to AI Video Creation,krea-ai-video-generator-review,Review,lovart-review,pillar_candidate,pillar,1699.86,15.0,10857.0,7.91,1448.56,9609,AI Video,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 10857 impressions; 15 clicks; pos 7.9; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
10,A_top_100_signal_refresh,runway-alternatives,Runway Alternatives: The Complete 2026 Guide to Finding Your Perfect AI Video Tool,runway-alternatives,Review,lovart-review,pillar_candidate,pillar,1712.9,20.0,9988.0,7.67,1429.04,14656,AI Video,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 9988 impressions; 20 clicks; pos 7.7; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
