kind,lookup_priority,lookup_mode,old_file,old_slug,old_wp_id,old_wp_link,old_local_exists,old_local_status,old_local_wp_status,old_local_wp_post_id,new_file,new_slug,new_wp_post_id,new_wp_link,new_local_exists,new_local_status,new_local_wp_status,match_score,safe_next_action
possible-old-new-pair,P0,verify-old-new-pair,post-415-how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits.md,how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits,415,https://blogs.lovart.ai/how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits.html,yes,,publish,,rewrite-post-415-edit-elements-vs-photoshop.md,how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits,18115,https://blogs.lovart.ai/how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits.html,yes,,draft,1.00,verify whether old post was superseded by rewrite; do not delete either file
missing-wp-post-id,P1,lookup-by-link-then-id,post-417-ai-design-wars_-spell-check-real-text-brand-consistency-and-prompt-discipline.md,ai-design-wars_-spell-check-real-text-brand-consistency-and-prompt-discipline,417,https://blogs.lovart.ai/ai-design-wars_-spell-check-real-text-brand-consistency-and-prompt-discipline.html,yes,,publish,,,,,,,,,0.15,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-422-how-lovart-outperforms-freelancers-templates-and-image-search.md,how-lovart-outperforms-freelancers-templates-and-image-search,422,https://blogs.lovart.ai/how-lovart-outperforms-freelancers-templates-and-image-search.html,yes,,publish,,,,,,,,,0.15,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-424-bubble-tea-branding-capturing-gen-zs-attention-with-ai-powered-visuals.md,bubble-tea-branding-capturing-gen-zs-attention-with-ai-powered-visuals,424,https://blogs.lovart.ai/bubble-tea-branding-capturing-gen-zs-attention-with-ai-powered-visuals.html,yes,,publish,,,,,,,,,0.09,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-428-the-logic-of-a-bestseller-designing-high-ctr-amazon-listings-and-a-content.md,the-logic-of-a-bestseller-designing-high-ctr-amazon-listings-and-a-content,428,https://blogs.lovart.ai/the-logic-of-a-bestseller-designing-high-ctr-amazon-listings-and-a-content.html,yes,,publish,,,,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
possible-old-new-pair,P0,verify-old-new-pair,post-430-common-prompting-mistakes-that-are-ruining-your-ai-results-and-how-to-fix-them.md,common-prompting-mistakes-that-are-ruining-your-ai-results-and-how-to-fix-them,430,https://blogs.lovart.ai/common-prompting-mistakes-that-are-ruining-your-ai-results-and-how-to-fix-them.html,yes,,publish,,rewrite-post-430-common-prompting-mistakes.md,common-ai-prompting-mistakes-design-results-how-to-fix,18116,https://blogs.lovart.ai/common-prompting-mistakes-that-are-ruining-your-ai-results-and-how-to-fix-them.html,yes,,draft,0.50,verify whether old post was superseded by rewrite; do not delete either file
possible-old-new-pair,P0,verify-old-new-pair,post-432-raster-png-vs-vector-svg-when-to-use-which.md,raster-png-vs-vector-svg-when-to-use-which,432,https://blogs.lovart.ai/raster-png-vs-vector-svg-when-to-use-which.html,yes,,publish,,rewrite-post-432-raster-vs-vector.md,raster-png-vs-vector-svg-when-to-use-which,18117,https://blogs.lovart.ai/raster-png-vs-vector-svg-when-to-use-which.html,yes,,draft,1.00,verify whether old post was superseded by rewrite; do not delete either file
possible-old-new-pair,P0,verify-old-new-pair,post-516-the-over-prompting-trap-why-novel-length-prompts-confuse-generative-ai.md,the-over-prompting-trap-why-novel-length-prompts-confuse-generative-ai,516,https://blogs.lovart.ai/the-over-prompting-trap-why-novel-length-prompts-confuse-generative-ai.html,yes,,publish,,rewrite-post-516-over-prompting-trap.md,over-prompting-trap-novel-length-prompts-confuse-generative-ai,18118,https://blogs.lovart.ai/the-over-prompting-trap-why-novel-length-prompts-confuse-generative-ai.html,yes,,draft,0.90,verify whether old post was superseded by rewrite; do not delete either file
missing-wp-post-id,P1,lookup-by-link-then-id,post-520-why-editable-ai-assets-are-the-new-stock-photography.md,why-editable-ai-assets-are-the-new-stock-photography,520,https://blogs.lovart.ai/why-editable-ai-assets-are-the-new-stock-photography.html,yes,,publish,,,,,,,,,0.11,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-522-why-talking-to-an-ai-agent-feels-less-intimidating-than-using-a-toolbar.md,why-talking-to-an-ai-agent-feels-less-intimidating-than-using-a-toolbar,522,https://blogs.lovart.ai/why-talking-to-an-ai-agent-feels-less-intimidating-than-using-a-toolbar.html,yes,,publish,,,,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
