language,slug,replicas,decision,primary_id,primary_title,secondary_id,secondary_title,seo_title_diff,action
de,ai-mockup-generator,2,Long seoDesc + uuid _id 优先保留,ai-mockup-generator-de,KI-Mockup-Generator: Erstelle fotorealistische Produktszenen,tools-ai-mockup-generator-de,Ai Mockup Generator | Lovart, P[KI-Mockup-Generator: Erstelle fotorealis] vs S[ai-mockup-generator | Lovart];,MOVE TO DRAFTS: tools-ai-mockup-generator-de (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
de,image-to-video-ai,2,Long seoDesc + uuid _id 优先保留,topic-image-to-video-ai-de,Bild-zu-Video-KI — Statische Bilder mit MCoT Engine animiere,tools-image-to-video-ai-de,Image To Video Ai | Lovart, P[Bild-zu-Video-KI: Verwandeln Sie Fotos i] vs S[image-to-video-ai | Lovart];,MOVE TO DRAFTS: tools-image-to-video-ai-de (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
en,ai-mockup-generator,2,Long seoDesc + uuid _id 优先保留,ai-mockup-generator-en,AI Mockup Generator: Create Photorealistic Product Scenes | ,tools-ai-mockup-generator-en,mockup 生成器 | Lovart, P[AI Mockup Generator: Create Photorealist] vs S[mockup 生成器 | Lovart];,MOVE TO DRAFTS: tools-ai-mockup-generator-en (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
en,ai-product-image-generator,2,Long seoDesc + uuid _id 优先保留,ai-product-image-generator-en,AI Google Shopping Feed Image Generator: Create Compliant Pr,tools-ai-product-image-generator-en,AI Product Image Generator | PDP & Marketplace Visuals | Lov, P[AI Product Image Generator — Google Shop] vs S[AI Product Image Generator | PDP & Marke];,MOVE TO DRAFTS: tools-ai-product-image-generator-en (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
en,text-to-video-ai,2,Long seoDesc + uuid _id 优先保留,features-text-to-video-ai-en,"AI Text-to-Video Generator: Create with Sora 2, Veo 3 & Klin",tools-text-to-video-ai-en,text 视频 | Lovart, P[AI Text-to-Video Generator: Create with ] vs S[text 视频 | Lovart];,MOVE TO DRAFTS: tools-text-to-video-ai-en (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
fr,ai-business-card-maker,2,Long seoDesc + uuid _id 优先保留,features-ai-business-card-maker-fr,chef 商务 卡片 设计 | Lovart,tools-ai-business-card-maker-fr,Ai Business Card Maker | Lovart, P[chef 商务 卡片 设计 | Lovart] vs S[ai-business-card-maker | Lovart];,MOVE TO DRAFTS: tools-ai-business-card-maker-fr (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
fr,ai-design-agent,2,Long seoDesc + uuid _id 优先保留,features-ai-design-agent-fr,Agent IA Lovart : branding et workflow créatif autonome,73328639-b683-4758-9516-66f864b97d9a-fr,Ai Design Agent | Lovart, P[Agent IA Lovart : branding et workflow c] vs S[ai-design-agent | Lovart];,MOVE TO DRAFTS: 73328639-b683-4758-9516-66f864b97d9a-fr (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
fr,ai-mockup-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-mockup-generator-fr,Générateur de maquettes IA : créez des scènes réalistes | Lo,tools-ai-mockup-generator-fr,Ai Mockup Generator | Lovart, P[Générateur de maquettes IA : créez des s] vs S[ai-mockup-generator | Lovart];,MOVE TO DRAFTS: tools-ai-mockup-generator-fr (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
fr,ai-picture-generator,2,Long seoDesc + uuid _id 优先保留,tools-ai-picture-generator-fr,Générateur d'Images IA | Lovart,features-ai-picture-generator-fr,affiliate ads 生成器 | Lovart, P[Générateur d'Images IA Gratuit | Créez d] vs S[affiliate ads 生成器 | Lovart];,MOVE TO DRAFTS: features-ai-picture-generator-fr (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
fr,ai-video-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-video-generator-fr,"Créez des vidéos IA avec Sora 2, Veo 3 & Kling | Lovart",tools-ai-video-generator-fr,Générateur vidéo IA | Transformez des images et du texte en ," P[Créez des vidéos IA avec Sora 2, Veo 3 &] vs S[Générateur vidéo IA | Transformez des im];",MOVE TO DRAFTS: tools-ai-video-generator-fr (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
fr,image-to-video-ai,2,Long seoDesc + uuid _id 优先保留,topic-image-to-video-ai-fr,IA Image vers Vidéo — Animez des Images Fixes avec le Moteur,tools-image-to-video-ai-fr,Image To Video Ai | Lovart, P[IA Image vers Vidéo : Transformez vos Ph] vs S[image-to-video-ai | Lovart];,MOVE TO DRAFTS: tools-image-to-video-ai-fr (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
