tier,category,language,slug,url,title,publishedAt,age_days,action
tierA-fresh,tool,fr,ai-3d-animation,/fr/tools/ai-3d-animation,Animation 3D IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-3d-model-generator,/fr/tools/ai-3d-model-generator,Générateur de Modèles 3D IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,en,ai-artwork-generator,/en/tools/ai-artwork-generator,AI Artwork Generator | Create Original Fine Art with AI | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-avatar-generator,/fr/tools/ai-avatar-generator,Générateur d'Avatar IA Parlant | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,en,ai-baby-name-generator,/en/tools/ai-baby-name-generator,AI Baby Name Generator | Find the Perfect Name for Your Family | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-banner-maker-free,/fr/tools/ai-banner-maker-free,Générateur de Bannières Gratuit | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-best-ai-video-generator-2026,/fr/tools/ai-best-ai-video-generator-2026,Meilleur Générateur Vidéo IA 2026 | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,de,ai-caricature-maker,/de/tools/ai-caricature-maker,AI-Karikatur-Generator | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-caricature-maker,/fr/tools/ai-caricature-maker,Générateur de Caricature IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-carousel-ad-maker,/fr/tools/ai-carousel-ad-maker,Générateur de Carrousel Publicitaire IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-content-format-converter,/fr/tools/ai-content-format-converter,Convertisseur de Formats IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-creative-suite-enterprise,/fr/tools/ai-creative-suite-enterprise,Suite Créative IA Entreprise | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-design-api,/fr/tools/ai-design-api,API de Design IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-emoji-generator,/fr/tools/ai-emoji-generator,Générateur d'Émojis Personnalisés | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-face-swap-free,/fr/tools/ai-face-swap-free,Échange de Visage Gratuit IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-hairstyle-changer,/fr/tools/ai-hairstyle-changer,Essayage Coiffure Virtuel IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-image-generator-for-social-media,/fr/tools/ai-image-generator-for-social-media,Générateur d'Images IA pour Réseaux Sociaux | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-image-to-sketch,/fr/tools/ai-image-to-sketch,Convertisseur Photo en Croquis IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-logo-maker-no-watermark,/fr/tools/ai-logo-maker-no-watermark,Générateur de Logo Sans Filigrane | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-model-generator,/fr/tools/ai-model-generator,Générateur de Mannequins IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-photo-editor-free,/fr/tools/ai-photo-editor-free,Éditeur Photo Gratuit IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-picture-generator,/fr/tools/ai-picture-generator,Générateur d'Images IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-poster-maker-free,/fr/tools/ai-poster-maker-free,Générateur d'Affiches Gratuit IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-storefront-designer,/fr/tools/ai-storefront-designer,Designer de Vitrine IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-storyboard-generator,/fr/tools/ai-storyboard-generator,Générateur de Storyboard IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-text-to-video-api,/fr/tools/ai-text-to-video-api,API Texte vers Vidéo IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-tiktok-content-creator,/fr/tools/ai-tiktok-content-creator,Créateur de Contenu TikTok IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-video-editor-api,/fr/tools/ai-video-editor-api,API d'Édition Vidéo IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-video-to-gif,/fr/tools/ai-video-to-gif,Convertisseur Vidéo en GIF IA | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-youtube-thumbnail-maker,/fr/tools/ai-youtube-thumbnail-maker,Générateur de Miniature YouTube | Lovart,2026-07-13,1,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,en,ai-caricature-maker,/en/tools/ai-caricature-maker,AI Caricature Maker — Turn Photos into Hand-Drawn Caricatures|Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,en,ai-tiktok-content-creator,/en/tools/ai-tiktok-content-creator,AI TikTok Content Creator | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,en,best-ai-video-generator-2026,/en/tools/best-ai-video-generator-2026,Best AI Video Generator 2026 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,en,ai-video-editor-api,/en/tools/ai-video-editor-api,AI Video Editor API | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,en,ai-logo-maker-no-watermark,/en/tools/ai-logo-maker-no-watermark,AI Logo Maker No Watermark | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,zh,ai-avatar-generator,/zh/tools/ai-avatar-generator,AI 头像生成器 | 一键创建专业虚拟形象与数字人 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,de,image-to-video,/de/tools/image-to-video,Image To Video | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,image-to-video,/fr/tools/image-to-video,Image To Video | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,fr,ai-design-agent,/fr/tools/ai-design-agent,Ai Design Agent | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,zh,ai-design-agent,/zh/tools/ai-design-agent,AI 设计代理 | 自主品牌与创意全流程 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,tool,zh,hailuo-2-3-ai-video-generator,/zh/tools/hailuo-2-3-ai-video-generator,Hailuo 2.3 AI 视频生成器 | 逼真动态视频创作 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-ad-thumbnail-generator,/de/features/ai-ad-thumbnail-generator,ad thumbnail 生成器 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,en,ai-avatar-streaming-seedance,/en/features/ai-avatar-streaming-seedance,Ai Avatar Streaming Seedance | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-brochure-design-tool,/de/features/ai-brochure-design-tool,company 宣传册 设计 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,en,ai-commercials-seedance,/en/features/ai-commercials-seedance,Ai Commercials Seedance | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,en,ai-design-marketing-agency,/en/features/ai-design-marketing-agency,Ai Design Marketing Agency | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-facebook-ad-creative-generator,/de/features/ai-facebook-ad-creative-generator,Ai Facebook Ad Creative Generator | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,en,ai-facebook-poster-generator,/en/features/ai-facebook-poster-generator,Ai Facebook Poster Generator | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-google-ads-banner-generator,/de/features/ai-google-ads-banner-generator,google ads 横幅 生成器 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-illustration-generator-vector-nano-banana,/de/features/ai-illustration-generator-vector-nano-banana,illustration projects | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-image-generator,/de/features/ai-image-generator,text 图像 生成器 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-instagram-post-generator,/de/features/ai-instagram-post-generator,twitter x post 生成器 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-instagram-post-maker,/de/features/ai-instagram-post-maker,instagram post 制作 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-linkedin-infographic-generator-b2b,/de/features/ai-linkedin-infographic-generator-b2b,linkedin 横幅 设计 生成器 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-logo-maker-brand-agent,/de/features/ai-logo-maker-brand-agent,标志 制作 品牌 代理 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-poster-generator-illustration-optimization,/de/features/ai-poster-generator-illustration-optimization,facebook 海报 生成器 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,en,ai-product-video-seedance,/en/features/ai-product-video-seedance,Ai Product Video Seedance | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-social-media-content-generator,/de/features/ai-social-media-content-generator,social media content 生成器 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,en,ai-text-to-image-generator,/en/features/ai-text-to-image-generator,Ai Text To Image Generator | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-video-prompt-generator-veo-sora,/de/features/ai-video-prompt-generator-veo-sora,视频 prompt 生成器 veo sora | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-webtoon-comic-generator-seedance,/de/features/ai-webtoon-comic-generator-seedance,seedance 视频 生成器 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,ai-youtube-banner-maker,/de/features/ai-youtube-banner-maker,设计 viral youtube thumbnails | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,album-cover-design,/de/features/album-cover-design,书籍 封面 设计 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,de,baby-shower-invitation-design,/de/features/baby-shower-invitation-design,baby shower invitation 设计 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,ja,create-videos-from-images-or-text-seedance,/ja/features/create-videos-from-images-or-text-seedance,create videos from images or text seedance | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
tierA-fresh,feature,en,best-ai-image-generator-2026,/en/features/best-ai-image-generator-2026,Best Ai Image Generator 2026 | Lovart,2026-07-12,2,"WATCH: 等 Google 索引窗口, 14 天后仍未进 GA4 → Tier B"
