issue_type,language,slug,_id,title,createdAt,seoTitle,url,action
"duplicate-(lang,slug)",zh,ai-avatar-generator,21dd4b6c-e23a-4440-ae85-b234c9ca57ac-zh,AI 头像生成器 | 一键创建专业虚拟形象与数字人 | Lovart,2026-07-12,AI 头像生成器 | 一键创建专业虚拟形象与数字人 | Lovart,https:/www.lovart.ai/zh/ai-avatar-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",zh,ai-avatar-generator,tools-ai-avatar-generator-zh,AI 虚拟形象生成器 | Lovart,2026-07-13,AI 虚拟形象生成器 | Lovart,https:/www.lovart.ai/zh/ai-avatar-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",zh-TW,ai-avatar-generator,21dd4b6c-e23a-4440-ae85-b234c9ca57ac-zh-TW,AI頭像生成器 |創建會說話的頭像和虛擬角色 |洛瓦特,2026-07-12,AI AI Avatar Generator — 即時建立專業設計 | Lovart,https:/www.lovart.ai/zh-TW/ai-avatar-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",zh-TW,ai-avatar-generator,tools-ai-avatar-generator-zh-TW,AI 虛擬形象生成器|Lovart,2026-07-13,AI 虛擬形象生成器 | Lovart,https:/www.lovart.ai/zh-TW/ai-avatar-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",fr,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-fr,Ai Design Agent | Lovart,2026-07-12,ai-design-agent | Lovart,https:/www.lovart.ai/fr/ai-design-agent,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",fr,ai-design-agent,features-ai-design-agent-fr,Agent IA Lovart : branding et workflow créatif autonome,2026-05-22,Agent IA Lovart : branding et workflow créatif autonome,https:/www.lovart.ai/fr/ai-design-agent,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",it,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-it,Agente di progettazione AI | Branding autonomo e flusso di lavoro creativo | Lov,2026-07-12,Agente di progettazione AI | Branding autonomo e flusso di lavoro creativo | Lov,https:/www.lovart.ai/it/ai-design-agent,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",it,ai-design-agent,features-ai-design-agent-it,Agente IA Lovart: branding autonomo e flusso creativo,2026-05-22,Agente IA Lovart: branding autonomo e flusso creativo,https:/www.lovart.ai/it/ai-design-agent,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ja,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ja,AIデザインエージェント |自律的なブランディングとクリエイティブ ワークフロー |ロヴァート,2026-07-12,AI AI Design Agent — プロフェッショナルなデザインを瞬時に作成 | Lovart,https:/www.lovart.ai/ja/ai-design-agent,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ja,ai-design-agent,features-ai-design-agent-ja,AIデザインエージェント：自律ブランディングと創造的ワークフロー,2026-05-22,AIデザインエージェント：自律ブランディングと創造的ワークフロー,https:/www.lovart.ai/ja/ai-design-agent,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ko,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ko,AI 디자인 에이전트 | 자율적인 브랜딩 및 크리에이티브 워크플로우 | 로바트,2026-07-12,AI AI Design Agent — 전문적인 디자인을 즉시 제작 | Lovart,https:/www.lovart.ai/ko/ai-design-agent,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ko,ai-design-agent,features-ai-design-agent-ko,AI 디자인 에이전트: 자동 브랜딩 & 창작 워크플로우 | Lovart,2026-05-22,AI 디자인 에이전트: 자동 브랜딩 & 창작 워크플로우 | Lovart,https:/www.lovart.ai/ko/ai-design-agent,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",pt,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-pt,Agente de design de IA | Branding autônomo e fluxo de trabalho criativo | Lovart,2026-07-12,Agente de design de IA | Branding autônomo e fluxo de trabalho criativo | Lovart,https:/www.lovart.ai/pt/ai-design-agent,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",pt,ai-design-agent,features-ai-design-agent-pt,Agente de Design com IA: Fluxo Criativo e Marca Autônoma | Lovart,2026-05-22,Agente de Design com IA: Fluxo Criativo e Marca Autônoma | Lovart,https:/www.lovart.ai/pt/ai-design-agent,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ru,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ru,Агент по разработке искусственного интеллекта | Автономный брендинг и творческий,2026-07-12,ИИ AI Design Agent — Создайте профессиональный дизайн мгновенно | Lovart,https:/www.lovart.ai/ru/ai-design-agent,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ru,ai-design-agent,features-ai-design-agent-ru,ИИ-дизайнер: автономный брендинг и креатив | Lovart,2026-05-22,ИИ-дизайнер: автономный брендинг и креатив | Lovart,https:/www.lovart.ai/ru/ai-design-agent,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",de,ai-mockup-generator,ai-mockup-generator-de,KI-Mockup-Generator: Erstelle fotorealistische Produktszenen | Lovart,2026-05-22,KI-Mockup-Generator: Erstelle fotorealistische Produktszenen | Lovart,https:/www.lovart.ai/de/ai-mockup-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",de,ai-mockup-generator,tools-ai-mockup-generator-de,Ai Mockup Generator | Lovart,2026-07-12,ai-mockup-generator | Lovart,https:/www.lovart.ai/de/ai-mockup-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",en,ai-mockup-generator,ai-mockup-generator-en,AI Mockup Generator: Create Photorealistic Product Scenes | Lovart,2026-07-12,AI Mockup Generator: Create Photorealistic Product Scenes | Lovart,https:/www.lovart.ai/en/ai-mockup-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",en,ai-mockup-generator,tools-ai-mockup-generator-en,mockup 生成器 | Lovart,2026-07-12,mockup 生成器 | Lovart,https:/www.lovart.ai/en/ai-mockup-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",en,ai-product-image-generator,ai-product-image-generator-en,AI Google Shopping Feed Image Generator: Create Compliant Product Photos | Lovar,2026-07-12,AI Product Image Generator — Google Shopping Photos | Lovart,https:/www.lovart.ai/en/ai-product-image-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",en,ai-product-image-generator,tools-ai-product-image-generator-en,AI Product Image Generator | PDP & Marketplace Visuals | Lovart,2026-07-12,AI Product Image Generator | PDP & Marketplace Visuals | Lovart,https:/www.lovart.ai/en/ai-product-image-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ja,create-videos-from-images-or-text-seedance,bea97c568706424eb0ffe290e6f1a71b-ja,create videos from images or text seedance | Lovart,2026-07-12,create videos from images or text seedance | Lovart,https:/www.lovart.ai/ja/create-videos-from-images-or-text-seedance,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ja,create-videos-from-images-or-text-seedance,features-create-videos-from-images-or-text-seedance-ja,画像やテキストから動画生成「Seedance 2.0」｜Lovart,2026-05-22,画像やテキストから動画生成「Seedance 2.0」｜Lovart,https:/www.lovart.ai/ja/create-videos-from-images-or-text-seedance,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",zh-TW,brochure-design,composite-brochure-design-zh-TW,Professional Brochure Design Made Simple — AI Brochure Maker by Lovart,2026-07-12,Professional Brochure Design Made Simple — AI Brochure Maker by Lovart,https:/www.lovart.ai/zh-TW/brochure-design,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",zh-TW,brochure-design,features-brochure-design-zh-TW,Brochure Design | Lovart,2026-07-12,Brochure Design | Lovart,https:/www.lovart.ai/zh-TW/brochure-design,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",fr,ai-business-card-maker,features-ai-business-card-maker-fr,chef 商务 卡片 设计 | Lovart,2026-07-12,chef 商务 卡片 设计 | Lovart,https:/www.lovart.ai/fr/ai-business-card-maker,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",fr,ai-business-card-maker,tools-ai-business-card-maker-fr,Ai Business Card Maker | Lovart,2026-07-12,ai-business-card-maker | Lovart,https:/www.lovart.ai/fr/ai-business-card-maker,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",it,ai-business-card-maker,features-ai-business-card-maker-it,chef 商务 卡片 设计 | Lovart,2026-07-12,chef 商务 卡片 设计 | Lovart,https:/www.lovart.ai/it/ai-business-card-maker,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",it,ai-business-card-maker,tools-ai-business-card-maker-it,Ai Business Card Maker | Lovart,2026-07-12,ai-business-card-maker | Lovart,https:/www.lovart.ai/it/ai-business-card-maker,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",it,ai-facebook-poster-generator,features-ai-facebook-poster-generator-it,Generatore di poster Facebook IA | Lovart,2026-07-12,Generatore di poster Facebook IA | Lovart,https:/www.lovart.ai/it/ai-facebook-poster-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",it,ai-facebook-poster-generator,features-ai-facebook-poster-generator-pt,AI Facebook Poster Generator | Lovart,2026-07-12,AI Facebook Poster Generator | Lovart,https:/www.lovart.ai/it/ai-facebook-poster-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",fr,ai-mockup-generator,features-ai-mockup-generator-fr,Générateur de maquettes IA : créez des scènes réalistes | Lovart,2026-05-22,Générateur de maquettes IA : créez des scènes réalistes | Lovart,https:/www.lovart.ai/fr/ai-mockup-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",fr,ai-mockup-generator,tools-ai-mockup-generator-fr,Ai Mockup Generator | Lovart,2026-07-12,ai-mockup-generator | Lovart,https:/www.lovart.ai/fr/ai-mockup-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",it,ai-mockup-generator,features-ai-mockup-generator-it,Generatore di mockup IA: scene prodotto fotorealistiche | Lovart,2026-05-22,Generatore di mockup IA: scene prodotto fotorealistiche | Lovart,https:/www.lovart.ai/it/ai-mockup-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",it,ai-mockup-generator,tools-ai-mockup-generator-it,Ai Mockup Generator | Lovart,2026-07-12,ai-mockup-generator | Lovart,https:/www.lovart.ai/it/ai-mockup-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ru,ai-mockup-generator,features-ai-mockup-generator-ru,Генератор мокапов ИИ: фотореалистичные сцены | Lovart,2026-05-22,Генератор мокапов ИИ: фотореалистичные сцены | Lovart,https:/www.lovart.ai/ru/ai-mockup-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",ru,ai-mockup-generator,tools-ai-mockup-generator-ru,Ai Mockup Generator | Lovart,2026-07-12,ai-mockup-generator | Lovart,https:/www.lovart.ai/ru/ai-mockup-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",zh-TW,ai-mockup-generator,features-ai-mockup-generator-zh-TW,Ai Mockup Generator | Lovart,2026-07-12,Ai Mockup Generator | Lovart,https:/www.lovart.ai/zh-TW/ai-mockup-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",zh-TW,ai-mockup-generator,tools-ai-mockup-generator-zh-TW,Ai Mockup Generator | Lovart,2026-07-12,ai-mockup-generator | Lovart,https:/www.lovart.ai/zh-TW/ai-mockup-generator,"PATCH: 保留最合适的 2/2 (按 _createdAt), 其他 mark stale + redirect to kept"
"duplicate-(lang,slug)",fr,ai-picture-generator,features-ai-picture-generator-fr,affiliate ads 生成器 | Lovart,2026-07-12,affiliate ads 生成器 | Lovart,https:/www.lovart.ai/fr/ai-picture-generator,"PATCH: 保留最合适的 1/2 (按 _createdAt), 其他 mark stale + redirect to kept"
