_id,language,category,slug,current_seoTitle,current_title,template_pattern,new_seoTitle_suggested,action
21dd4b6c-e23a-4440-ae85-b234c9ca57ac-ja,ja,tool,ai-avatar-generator,AI AI Avatar Generator — プロフェッショナルなデザインを瞬時に作成 | Lovart,AIアバタージェネレーター |話すアバターと仮想キャラクターを作成 |ロヴァート,AI AI EN-DUP|MASTER_TEMPLATE|MASTER_FULL,AIアバタージェネレーター | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
3a6e478d-6305-4ae5-8810-3b40d8217451-ja,ja,tool,image-to-video,AI Image To Video — プロフェッショナルなデザインを瞬時に作成 | Lovart,画像からビデオへの AI |写真をアニメーションビデオに変える |ロヴァート,MASTER_TEMPLATE|MASTER_FULL,画像からビデオへの | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
73328639-b683-4758-9516-66f864b97d9a-ja,ja,tool,ai-design-agent,AI AI Design Agent — プロフェッショナルなデザインを瞬時に作成 | Lovart,AIデザインエージェント |自律的なブランディングとクリエイティブ ワークフロー |ロヴァート,AI AI EN-DUP|MASTER_TEMPLATE|MASTER_FULL,AIデザインエージェント | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
87dfcbaa-1526-4595-81ce-abe660c0e9b8-ja,ja,tool,hailuo-2-3-ai-video-generator,AI Hailuo 2 3 AI Video Generator — プロフェッショナルなデザインを瞬時に作成 | Lovart,Hailuo 2.3 AI ビデオ ジェネレーター |リアルなモーションビデオ |ロヴァート,MASTER_TEMPLATE|MASTER_FULL,Hailuo 2.3 ビデオ ジェネレーター | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
tools-ai-art-generator-ja,ja,tool,ai-art-generator,AI AI Art Generator — プロフェッショナルなデザインを瞬時に作成 | Lovart,AIアートジェネレーター |テキストから見事なデジタル アートを作成 |ロヴァート,AI AI EN-DUP|MASTER_TEMPLATE|MASTER_FULL,AIアートジェネレーター | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
tools-ai-baby-podcast-generator-ja,ja,tool,ai-baby-podcast-generator,AI AI Baby Podcast Generator — プロフェッショナルなデザインを瞬時に作成 | Lovart,AI Baby ポッドキャスト ジェネレーター |赤ちゃんの声のコンテンツを作成する |ロヴァート,AI AI EN-DUP|MASTER_TEMPLATE|MASTER_FULL,Baby ポッドキャスト ジェネレーター | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
tools-ai-background-generator-ja,ja,tool,ai-background-generator,AI AI Background Generator — プロフェッショナルなデザインを瞬時に作成 | Lovart,AI背景ジェネレーター |専門的な背景を作成する |ロヴァート,AI AI EN-DUP|MASTER_TEMPLATE|MASTER_FULL,AI背景ジェネレーター | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
tools-ai-face-swap-ja,ja,tool,ai-face-swap,AI AI Face Swap — プロフェッショナルなデザインを瞬時に作成 | Lovart,AI顔交換 |写真内の顔をシームレスに交換 |ロヴァート,AI AI EN-DUP|MASTER_TEMPLATE|MASTER_FULL,AI顔交換 | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
tools-ai-picture-generator-ja,ja,tool,ai-picture-generator,AI画像生成 | テキストからプロ品質の画像を瞬時に作成 | Lovart,AI画像生成|Lovart,MASTER_TEMPLATE,AI画像生成 | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
tools-ai-poster-maker-free-ja,ja,tool,ai-poster-maker-free,AIポスターメーカー 無料 | プロ品質のポスターを瞬時に作成 | Lovart,AIポスターメーカー（無料）|Lovart,MASTER_TEMPLATE,AIポスターメーカー（無料） | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
tools-ai-poster-maker-ja,ja,tool,ai-poster-maker,AI AI Poster Maker — プロフェッショナルなデザインを瞬時に作成 | Lovart,[JA] ai-poster-maker,AI AI EN-DUP|MASTER_TEMPLATE|MASTER_FULL,[JA] ai-poster-maker | Lovartの無料ツール,PATCH: 重写 seoTitle 用日本口语化语序（非 EN 模板硬译）; 同步 patch seo.description
