filename,path,slug,title,date,language,category,folder_status,frontmatter_status,wp_status,wp_post_id,plan_slug,plan_index,plan_status,plan_match,source_bucket,notes
ai-logo-vs-human-designer.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/ai-logo-vs-human-designer.md,ai-logo-generator-vs-human-designer-2026,AI Logo Generator vs Human Designer: The Honest Comparison for 2026,2026-05-26,,Comparison,Published,,,18007,,,,no,additional-published,not-in-production-plan
batch-generate-social-media-content-ai.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/batch-generate-social-media-content-ai.md,batch-generate-30-days-social-media-content-ai,"How to Batch-Generate 30 Days of Social Media Content with AI — One Session, One Month of Posts",2026-05-26,,How-To,Published,,,18008,,,,no,additional-published,not-in-production-plan
best-practice-brand-kit-setup-5-minutes.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/best-practice-brand-kit-setup-5-minutes.md,brand-kit-setup-5-minutes-lovart-best-practice,Best Practice: Brand Kit Setup in 5 Minutes — Never Manually Re-Enter Your Brand Colors Again,2026-05-26,,Best Practice,Published,,,18009,,,,no,additional-published,not-in-production-plan
best-practice-nano-banana-consistent-results.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/best-practice-nano-banana-consistent-results.md,nano-banana-consistent-results-lovart-best-practice,Best Practice: Getting Consistent Results with Nano Banana — Stop Playing the Prompt Lottery,2026-05-26,,Best Practice,Published,,,18010,,,,no,additional-published,not-in-production-plan
best-practice-touch-edit-3-gestures.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/best-practice-touch-edit-3-gestures.md,touch-edit-best-practice-3-gestures-lovart,Best Practice: Touch Edit — The 3 Gestures Every Designer Should Know,2026-05-26,,Best Practice,Published,,,18011,,,,no,additional-published,not-in-production-plan
better-design-accessible-design-inclusive-content-ai.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/better-design-accessible-design-inclusive-content-ai.md,accessible-design-inclusive-content-ai,Accessibility in Design: Making Content Inclusive with AI,2026-05-26,en,Branding,Published,published,,18012,accessible-design-inclusive-content-ai,72,draft-done (~2806w),yes,planned-93,
better-design-ai-copyright-creators-guide-2026.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/better-design-ai-copyright-creators-guide-2026.md,ai-copyright-creators-guide-2026,AI and Copyright: What Creators Need to Know in 2026,2026-05-26,en,Branding,Published,published,,18013,ai-copyright-creators-guide-2026,73,draft-done (~2820w),yes,planned-93,
better-design-design-psychology-visuals-convert.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/better-design-design-psychology-visuals-convert.md,design-psychology-visuals-convert,Design Psychology: Why Some Visuals Convert and Others Don't,2026-05-26,en,Branding,Published,published,,18014,design-psychology-visuals-convert,76,draft-done (~2798w),yes,planned-93,
better-design-design-styles-history-ai-prompting.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/better-design-design-styles-history-ai-prompting.md,design-styles-history-ai-prompting,The History of Design Styles — and How to Prompt AI for Each,2026-05-26,en,Branding,Published,published,,18015,design-styles-history-ai-prompting,77,draft-done (~2814w),yes,planned-93,
better-design-print-design-basics-bleed-dpi-cmyk.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/better-design-print-design-basics-bleed-dpi-cmyk.md,print-design-basics-bleed-dpi-cmyk,"Print Design Basics: Bleed, DPI, and CMYK Explained for AI Creators",2026-05-26,en,Branding,Published,published,,18016,print-design-basics-bleed-dpi-cmyk,74,draft-done (~2825w),yes,planned-93,
better-design-responsive-design-aspect-ratios-guide.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/better-design-responsive-design-aspect-ratios-guide.md,responsive-design-aspect-ratios-guide,Responsive Design: How to Think About Aspect Ratios,2026-05-26,en,Branding,Published,published,,18017,responsive-design-aspect-ratios-guide,75,draft-done (~2788w),yes,planned-93,
better-design-visual-hierarchy-design-principle.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/better-design-visual-hierarchy-design-principle.md,visual-hierarchy-design-principle,Visual Hierarchy: The One Principle That Fixes 90% of Bad Design,2026-05-26,en,Branding,Published,published,,18018,visual-hierarchy-design-principle,78,draft-done (~2797w),yes,planned-93,
build-complete-brand-kit-from-scratch.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/build-complete-brand-kit-from-scratch.md,build-complete-brand-kit-from-scratch-ai,"Building a Complete Brand Kit from Scratch — Logo, Colors, Typography, and Templates in One Session",2026-05-26,,How-To,Published,,,18019,,,,no,additional-published,not-in-production-plan
canva-vs-lovart-comparison.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/canva-vs-lovart-comparison.md,canva-vs-lovart-template-vs-generative-ai-design-2026,Canva vs Lovart: Template-Based Design Meets AI Design Agent — Which One Actually Belongs in Your 2026 Workflow?,2026-05-26,,Comparison,Published,,,18006,,,,no,additional-published,not-in-production-plan
color-psychology-brand-design-guide.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/color-psychology-brand-design-guide.md,color-psychology-brand-design-complete-guide,Color Psychology for Brand Design: A Complete Guide to Choosing Colors That Convert,2026-05-26,,Better Design,Published,,,18020,,,,no,additional-published,not-in-production-plan
comparison-adcreative-ai-vs-lovart.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/comparison-adcreative-ai-vs-lovart.md,adcreative-ai-vs-lovart,AdCreative.ai vs Lovart: Ad Generator vs Cross-Channel Agent,2026-05-26,en,How-To,Published,published,,18021,adcreative-ai-vs-lovart,17,draft-done (~3603w),yes,planned-93,
comparison-adobe-firefly-vs-lovart.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/comparison-adobe-firefly-vs-lovart.md,adobe-firefly-vs-lovart,Adobe Firefly vs Lovart: Creative Suite Meets AI Design Agent,2026-05-26,en,How-To,Published,published,,18022,adobe-firefly-vs-lovart,1,draft-done,yes,planned-93,
comparison-designs-ai-vs-lovart.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/comparison-designs-ai-vs-lovart.md,designs-ai-vs-lovart,Designs.ai vs Lovart: Marketing Suite or AI Design Agent?,2026-05-26,en,How-To,Published,published,,18023,designs-ai-vs-lovart,6,draft-done (~4738w),yes,planned-93,
comparison-figma-ai-vs-lovart-design-agent.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/comparison-figma-ai-vs-lovart-design-agent.md,figma-ai-vs-lovart-design-agent,Figma AI vs Lovart: Design Tool vs Design Agent in 2026,2026-05-26,en,How-To,Published,published,,18024,figma-ai-vs-lovart-design-agent,2,draft-done (~3614w),yes,planned-93,
comparison-freepik-ai-vs-lovart.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/comparison-freepik-ai-vs-lovart.md,freepik-ai-vs-lovart,Freepik AI vs Lovart: Stock Library Meets AI Design Agent,2026-05-26,en,How-To,Published,published,,18025,freepik-ai-vs-lovart,9,draft-done (~5266w),yes,planned-93,
comparison-galileo-ai-vs-lovart.md,1-3 Content Gen/Lovart-Blog-Pipeline/Lovart-Blogs/03-Published/comparison-galileo-ai-vs-lovart.md,galileo-ai-vs-lovart,Galileo AI vs Lovart: Prompt-to-UI vs Prompt-to-Anything,2026-05-26,en,How-To,Published,published,,18026,galileo-ai-vs-lovart,23,draft-done (~3633w),yes,planned-93,
