idx,language,slug,url,KEEP_id,KEEP_lang_match,KEEP_desc_len,KEEP_title,MOVE_id,MOVE_lang_match,MOVE_desc_len,MOVE_title,B_task_patched?,GA4_sess_30d,GSC_clicks_28d,GSC_impr_28d,risk,notes
1,zh,ai-avatar-generator,https://www.lovart.ai/zh/tools/ai-avatar-generator,21dd4b6c-e23a-4440-ae85-b234c9ca57ac-zh,True,75,AI 头像生成器 | 一键创建专业虚拟形象与数字人 | Lovart,tools-ai-avatar-generator-zh,True,27,AI 虚拟形象生成器 | Lovart,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
2,zh-TW,ai-avatar-generator,https://www.lovart.ai/zh-TW/tools/ai-avatar-generator,21dd4b6c-e23a-4440-ae85-b234c9ca57ac-zh-TW,True,50,AI頭像生成器 |創建會說話的頭像和虛擬角色 |洛瓦特,tools-ai-avatar-generator-zh-TW,True,34,AI 虛擬形象生成器|Lovart,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
3,fr,ai-design-agent,https://www.lovart.ai/fr/features/ai-design-agent,features-ai-design-agent-fr,True,218,Agent IA Lovart : branding et workflow créatif autonome,73328639-b683-4758-9516-66f864b97d9a-fr,False,69,Ai Design Agent | Lovart,NO,0,0,0,LOW,"✓ MOVE 是 EN 残本, MOVE 风险低"
4,it,ai-design-agent,https://www.lovart.ai/it/tools/ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-it,False,167,Agente di progettazione AI | Branding autonomo e flusso di l,features-ai-design-agent-it,False,186,Agente IA Lovart: branding autonomo e flusso creativo,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (it); ✓ MOVE 是 EN 残本, MOVE 风险低"
5,ja,ai-design-agent,https://www.lovart.ai/ja/tools/ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ja,True,89,AIデザインエージェント |自律的なブランディングとクリエイティブ ワークフロー |ロヴァート,features-ai-design-agent-ja,True,82,AIデザインエージェント：自律ブランディングと創造的ワークフロー,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
6,ko,ai-design-agent,https://www.lovart.ai/ko/tools/ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ko,True,105,AI 디자인 에이전트 | 자율적인 브랜딩 및 크리에이티브 워크플로우 | 로바트,features-ai-design-agent-ko,True,92,AI 디자인 에이전트: 자동 브랜딩 & 창작 워크플로우 | Lovart,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
7,pt,ai-design-agent,https://www.lovart.ai/pt/tools/ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-pt,True,172,Agente de design de IA | Branding autônomo e fluxo de trabal,features-ai-design-agent-pt,True,212,Agente de Design com IA: Fluxo Criativo e Marca Autônoma | L,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
8,ru,ai-design-agent,https://www.lovart.ai/ru/tools/ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ru,True,224,Агент по разработке искусственного интеллекта | Автономный б,features-ai-design-agent-ru,True,155,ИИ-дизайнер: автономный брендинг и креатив | Lovart,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
9,de,ai-mockup-generator,https://www.lovart.ai/de/features/ai-mockup-generator,ai-mockup-generator-de,False,144,KI-Mockup-Generator: Erstelle fotorealistische Produktszenen,tools-ai-mockup-generator-de,False,91,Ai Mockup Generator | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (de); ✓ MOVE 是 EN 残本, MOVE 风险低"
10,en,ai-mockup-generator,https://www.lovart.ai/ai-mockup-generator,ai-mockup-generator-en,True,160,AI Mockup Generator: Create Photorealistic Product Scenes | ,tools-ai-mockup-generator-en,True,26,mockup 生成器 | Lovart,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
11,en,ai-product-image-generator,https://www.lovart.ai/ai-product-image-generator,tools-ai-product-image-generator-en,True,144,AI Product Image Generator | PDP & Marketplace Visuals | Lov,ai-product-image-generator-en,True,107,AI Google Shopping Feed Image Generator: Create Compliant Pr,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
12,ja,create-videos-from-images-or-text-seedance,https://www.lovart.ai/ja/features/create-videos-from-images-or-text-seedance,features-create-videos-from-images-or-text-seedance-ja,True,72,画像やテキストから動画生成「Seedance 2.0」｜Lovart,bea97c568706424eb0ffe290e6f1a71b-ja,False,79,create videos from images or text seedance | Lovart,NO,0,0,0,LOW,"✓ MOVE 是 EN 残本, MOVE 风险低"
13,zh-TW,brochure-design,https://www.lovart.ai/zh-TW/features/brochure-design,composite-brochure-design-zh-TW,False,257,Professional Brochure Design Made Simple — AI Brochure Maker,features-brochure-design-zh-TW,False,52,Brochure Design | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (zh-TW); ✓ MOVE 是 EN 残本, MOVE 风险低"
14,fr,ai-business-card-maker,https://www.lovart.ai/fr/features/ai-business-card-maker,features-ai-business-card-maker-fr,False,96,chef 商务 卡片 设计 | Lovart,tools-ai-business-card-maker-fr,False,76,Ai Business Card Maker | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (fr); ✓ MOVE 是 EN 残本, MOVE 风险低"
15,it,ai-business-card-maker,https://www.lovart.ai/it/features/ai-business-card-maker,features-ai-business-card-maker-it,False,86,chef 商务 卡片 设计 | Lovart,tools-ai-business-card-maker-it,False,53,Ai Business Card Maker | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (it); ✓ MOVE 是 EN 残本, MOVE 风险低"
16,it,ai-facebook-poster-generator,https://www.lovart.ai/it/features/ai-facebook-poster-generator,features-ai-facebook-poster-generator-it,False,151,Generatore di poster Facebook IA | Lovart,features-ai-facebook-poster-generator-pt,False,101,AI Facebook Poster Generator | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (it); ✓ MOVE 是 EN 残本, MOVE 风险低"
17,fr,ai-mockup-generator,https://www.lovart.ai/fr/features/ai-mockup-generator,features-ai-mockup-generator-fr,True,150,Générateur de maquettes IA : créez des scènes réalistes | Lo,tools-ai-mockup-generator-fr,False,73,Ai Mockup Generator | Lovart,NO,0,0,0,LOW,"✓ MOVE 是 EN 残本, MOVE 风险低"
18,it,ai-mockup-generator,https://www.lovart.ai/it/features/ai-mockup-generator,features-ai-mockup-generator-it,False,118,Generatore di mockup IA: scene prodotto fotorealistiche | Lo,tools-ai-mockup-generator-it,False,50,Ai Mockup Generator | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (it); ✓ MOVE 是 EN 残本, MOVE 风险低"
19,ru,ai-mockup-generator,https://www.lovart.ai/ru/features/ai-mockup-generator,features-ai-mockup-generator-ru,True,135,Генератор мокапов ИИ: фотореалистичные сцены | Lovart,tools-ai-mockup-generator-ru,False,0,Ai Mockup Generator | Lovart,NO,0,0,0,LOW,"✓ MOVE 是 EN 残本, MOVE 风险低"
