filename,image_num,image_type,line_number,prompt,status,produced_file
01-best-practice-nano-banana-consistency.md,IMAGE_1,Persona Scenario,12,"A curated flat-lay photography scene showing design tools and outputs mentioned in Best Practice: Getting Consistent Results with Nan — organized chaos, editorial product photography style",⬜ 待生产,
01-best-practice-nano-banana-consistency.md,IMAGE_2,Conceptual Diagram,20,"A hand-drawn ranking or scoring matrix showing the criteria used to evaluate options in Best Practice: Getting Consistent Results with Nan — colorful markers, creative layout",⬜ 待生产,
01-best-practice-nano-banana-consistency.md,IMAGE_4,Brand CTA,73,"Brand visual showing 'Best of' collection — multiple beautiful design outputs arranged in a grid, modern gallery aesthetic",⬜ 待生产,
01-bofu-canva-migration-guide.md,IMAGE_1,Persona Scenario,18,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-bofu-canva-migration-guide.md,IMAGE_2,Conceptual Diagram,26,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-bofu-canva-migration-guide.md,IMAGE_4,Brand CTA,207,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Switching from Canva to Lovart: The 7-Day Migratio — modern, aspirational, cinematic lighting",⬜ 待生产,
01-bofu-case-study-solo-designer.md,IMAGE_1,Persona Scenario,21,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-bofu-case-study-solo-designer.md,IMAGE_2,Conceptual Diagram,37,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-bofu-case-study-solo-designer.md,IMAGE_4,Brand CTA,172,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in How a Solo Designer Replaced Canva, Midjourney & F — modern, aspirational, cinematic lighting",⬜ 待生产,
01-canva-vs-lovart.md,IMAGE_1,Persona Scenario,18,"A split-screen scene showing two workspaces side by side: one cluttered with multiple tools and tabs (traditional), the other clean with a single Lovart ChatCanvas — contrasting lighting, editorial style",⬜ 待生产,
01-canva-vs-lovart.md,IMAGE_2,Conceptual Diagram,22,"A hand-drawn comparison matrix sketch comparing features across tools mentioned in Canva vs Lovart: Template Design vs AI Design Agent (2026) — markers and sticky notes, creative brainstorming aesthetic",⬜ 待生产,
01-canva-vs-lovart.md,IMAGE_4,Brand CTA,168,"Professional brand visual showing the Lovart logo and key differentiators highlighted in Canva vs Lovart: Template Design vs AI Design Agen — clean, bold typography, modern tech aesthetic",⬜ 待生产,
01-career-ai-product-photography.md,IMAGE_1,Persona Scenario,12,"A curated flat-lay photography scene showing design tools and outputs mentioned in AI Product Photography: From Phone Photos to Profe — organized chaos, editorial product photography style",⬜ 待生产,
01-career-ai-product-photography.md,IMAGE_2,Conceptual Diagram,22,"A hand-drawn ranking or scoring matrix showing the criteria used to evaluate options in AI Product Photography: From Phone Photos to Profe — colorful markers, creative layout",⬜ 待生产,
01-career-ai-product-photography.md,IMAGE_4,Brand CTA,135,"Brand visual showing 'Best of' collection — multiple beautiful design outputs arranged in a grid, modern gallery aesthetic",⬜ 待生产,
01-career-freelance-designer-workflow.md,IMAGE_1,Persona Scenario,20,"A relatable professional scene depicting the core problem discussed in The Freelance Designer's Complete Workflow with Lovart — authentic, natural lighting, documentary style",⬜ 待生产,
01-career-freelance-designer-workflow.md,IMAGE_2,Conceptual Diagram,30,"A hand-drawn conceptual diagram illustrating the main idea of The Freelance Designer's Complete Workflow with Lo — clean sketch style, creative brainstorming aesthetic",⬜ 待生产,
01-career-freelance-designer-workflow.md,IMAGE_4,Brand CTA,138,"Professional brand visual for Lovart AI Design Agent — modern, aspirational, showing the value promised in The Freelance Designer's Complete Workflow with Lo",⬜ 待生产,
01-career-marketing-director-playbook.md,IMAGE_1,Persona Scenario,25,"A relatable professional scene depicting the core problem discussed in The Marketing Director's AI Design Playbook: Scaling Creativ — authentic, natural lighting, documentary style",⬜ 待生产,
