kind,old_file,old_slug,old_wp_status,old_wp_id,old_wp_link,new_file,new_slug,new_wp_status,new_wp_post_id,new_wp_link,match_score,recommended_action
possible-old-new-pair,post-415-how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits.md,how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits,publish,415,https://blogs.lovart.ai/how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits.html,rewrite-post-415-edit-elements-vs-photoshop.md,how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits,draft,18115,https://blogs.lovart.ai/how-lovarts-edit-elements-outpaces-photoshop-dall-e-3-and-outdated-design-habits.html,1.00,verify whether old post was superseded by rewrite; do not delete either file
missing-wp-post-id,post-417-ai-design-wars_-spell-check-real-text-brand-consistency-and-prompt-discipline.md,ai-design-wars_-spell-check-real-text-brand-consistency-and-prompt-discipline,publish,417,https://blogs.lovart.ai/ai-design-wars_-spell-check-real-text-brand-consistency-and-prompt-discipline.html,,,,,,0.15,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-422-how-lovart-outperforms-freelancers-templates-and-image-search.md,how-lovart-outperforms-freelancers-templates-and-image-search,publish,422,https://blogs.lovart.ai/how-lovart-outperforms-freelancers-templates-and-image-search.html,,,,,,0.15,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-424-bubble-tea-branding-capturing-gen-zs-attention-with-ai-powered-visuals.md,bubble-tea-branding-capturing-gen-zs-attention-with-ai-powered-visuals,publish,424,https://blogs.lovart.ai/bubble-tea-branding-capturing-gen-zs-attention-with-ai-powered-visuals.html,,,,,,0.09,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-428-the-logic-of-a-bestseller-designing-high-ctr-amazon-listings-and-a-content.md,the-logic-of-a-bestseller-designing-high-ctr-amazon-listings-and-a-content,publish,428,https://blogs.lovart.ai/the-logic-of-a-bestseller-designing-high-ctr-amazon-listings-and-a-content.html,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
possible-old-new-pair,post-430-common-prompting-mistakes-that-are-ruining-your-ai-results-and-how-to-fix-them.md,common-prompting-mistakes-that-are-ruining-your-ai-results-and-how-to-fix-them,publish,430,https://blogs.lovart.ai/common-prompting-mistakes-that-are-ruining-your-ai-results-and-how-to-fix-them.html,rewrite-post-430-common-prompting-mistakes.md,common-ai-prompting-mistakes-design-results-how-to-fix,draft,18116,https://blogs.lovart.ai/common-prompting-mistakes-that-are-ruining-your-ai-results-and-how-to-fix-them.html,0.50,verify whether old post was superseded by rewrite; do not delete either file
possible-old-new-pair,post-432-raster-png-vs-vector-svg-when-to-use-which.md,raster-png-vs-vector-svg-when-to-use-which,publish,432,https://blogs.lovart.ai/raster-png-vs-vector-svg-when-to-use-which.html,rewrite-post-432-raster-vs-vector.md,raster-png-vs-vector-svg-when-to-use-which,draft,18117,https://blogs.lovart.ai/raster-png-vs-vector-svg-when-to-use-which.html,1.00,verify whether old post was superseded by rewrite; do not delete either file
possible-old-new-pair,post-516-the-over-prompting-trap-why-novel-length-prompts-confuse-generative-ai.md,the-over-prompting-trap-why-novel-length-prompts-confuse-generative-ai,publish,516,https://blogs.lovart.ai/the-over-prompting-trap-why-novel-length-prompts-confuse-generative-ai.html,rewrite-post-516-over-prompting-trap.md,over-prompting-trap-novel-length-prompts-confuse-generative-ai,draft,18118,https://blogs.lovart.ai/the-over-prompting-trap-why-novel-length-prompts-confuse-generative-ai.html,0.90,verify whether old post was superseded by rewrite; do not delete either file
missing-wp-post-id,post-520-why-editable-ai-assets-are-the-new-stock-photography.md,why-editable-ai-assets-are-the-new-stock-photography,publish,520,https://blogs.lovart.ai/why-editable-ai-assets-are-the-new-stock-photography.html,,,,,,0.11,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-522-why-talking-to-an-ai-agent-feels-less-intimidating-than-using-a-toolbar.md,why-talking-to-an-ai-agent-feels-less-intimidating-than-using-a-toolbar,publish,522,https://blogs.lovart.ai/why-talking-to-an-ai-agent-feels-less-intimidating-than-using-a-toolbar.html,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-524-ai%e8%ae%be%e8%ae%a1%e8%b5%84%e6%ba%90%e5%ba%93-ai%e8%89%b2%e5%bd%a9%e5%bf%83%e7%90%86%e5%ad%a6%e4%b8%8e%e5%93%81%e7%89%8c%e7%ad%96%e7%95%a5%ef%bc%9a%e5%88%a9%e7%94%a8ai%e8%ae%be%e8%ae%a1%e4%bb%a3.md,ai%e8%ae%be%e8%ae%a1%e8%b5%84%e6%ba%90%e5%ba%93-ai%e8%89%b2%e5%bd%a9%e5%bf%83%e7%90%86%e5%ad%a6%e4%b8%8e%e5%93%81%e7%89%8c%e7%ad%96%e7%95%a5%ef%bc%9a%e5%88%a9%e7%94%a8ai%e8%ae%be%e8%ae%a1%e4%bb%a3,publish,524,https://blogs.lovart.ai/ai%e8%ae%be%e8%ae%a1%e8%b5%84%e6%ba%90%e5%ba%93-ai%e8%89%b2%e5%bd%a9%e5%bf%83%e7%90%86%e5%ad%a6%e4%b8%8e%e5%93%81%e7%89%8c%e7%ad%96%e7%95%a5%ef%bc%9a%e5%88%a9%e7%94%a8ai%e8%ae%be%e8%ae%a1%e4%bb%a3.html,,,,,,0.00,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-526-a-mastering-ai-design-prompts_-negative-space-object-isolation-editable-menus-line-weight-control.md,a-mastering-ai-design-prompts_-negative-space-object-isolation-editable-menus-line-weight-control,publish,526,https://blogs.lovart.ai/a-mastering-ai-design-prompts_-negative-space-object-isolation-editable-menus-line-weight-control.html,,,,,,0.13,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-528-from-isolating-transparent-stickers-to-editable-menus-and-precise-line-weight-control.md,from-isolating-transparent-stickers-to-editable-menus-and-precise-line-weight-control,publish,528,https://blogs.lovart.ai/from-isolating-transparent-stickers-to-editable-menus-and-precise-line-weight-control.html,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-530-how-lovart-automatically-crops-images-for-maximum-impact.md,how-lovart-automatically-crops-images-for-maximum-impact,publish,530,https://blogs.lovart.ai/how-lovart-automatically-crops-images-for-maximum-impact.html,,,,,,0.13,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-532-deleting-too-soon-why-your-bad-generation-is-actually-just-one-click-away-from-perfect.md,deleting-too-soon-why-your-bad-generation-is-actually-just-one-click-away-from-perfect,publish,532,https://blogs.lovart.ai/deleting-too-soon-why-your-bad-generation-is-actually-just-one-click-away-from-perfect.html,,,,,,0.00,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-534-the-first-co-create-ai-design-agent-driven-canvas-for-digital-marketing-manager.md,the-first-co-create-ai-design-agent-driven-canvas-for-digital-marketing-manager,publish,534,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-digital-marketing-manager.html,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-536-the-first-co-create-ai-design-agent-driven-canvas-for-registered-investment-advisor.md,the-first-co-create-ai-design-agent-driven-canvas-for-registered-investment-advisor,publish,536,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-registered-investment-advisor.html,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-538-the-first-co-create-ai-design-agent-driven-canvas-for-content-creator.md,the-first-co-create-ai-design-agent-driven-canvas-for-content-creator,publish,538,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-content-creator.html,,,,,,0.09,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-540-the-first-co-create-ai-design-agent-driven-canvas-for-content-creator-2.md,the-first-co-create-ai-design-agent-driven-canvas-for-content-creator-2,publish,540,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-content-creator-2.html,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-542-the-first-co-create-ai-design-agent-driven-canvas-for-coach.md,the-first-co-create-ai-design-agent-driven-canvas-for-coach,publish,542,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-coach.html,,,,,,0.10,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-56-the-death-of-the-render-farm-how-agentic-design-is-rewiring-the-go-to-market-stack-for-intelligent-hardware.md,the-death-of-the-render-farm-how-agentic-design-is-rewiring-the-go-to-market-stack-for-intelligent-hardware,publish,56,https://blogs.lovart.ai/the-death-of-the-render-farm-how-agentic-design-is-rewiring-the-go-to-market-stack-for-intelligent-hardware.html,,,,,,0.18,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-59-the-algorithmic-atelier-rewiring-the-fashion-supply-chain-with-agentic-design.md,the-algorithmic-atelier-rewiring-the-fashion-supply-chain-with-agentic-design,publish,59,https://blogs.lovart.ai/the-algorithmic-atelier-rewiring-the-fashion-supply-chain-with-agentic-design.html,,,,,,0.10,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,post-61-the-culinary-algorithm-how-independent-restaurateurs-are-using-agentic-design-to-outperform-franchises.md,the-culinary-algorithm-how-independent-restaurateurs-are-using-agentic-design-to-outperform-franchises,publish,61,https://blogs.lovart.ai/the-culinary-algorithm-how-independent-restaurateurs-are-using-agentic-design-to-outperform-franchises.html,,,,,,0.25,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
