language,slug,primary_id,primary_title,secondary_id,secondary_title,action
zh,ai-avatar-generator,21dd4b6c-e23a-4440-ae85-b234c9ca57ac-zh,AI 头像生成器 | 一键创建专业虚拟形象与数字人 | Lovart,tools-ai-avatar-generator-zh,AI 虚拟形象生成器 | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
zh-TW,ai-avatar-generator,21dd4b6c-e23a-4440-ae85-b234c9ca57ac-zh-TW,AI頭像生成器 |創建會說話的頭像和虛擬角色 |洛瓦特,tools-ai-avatar-generator-zh-TW,AI 虛擬形象生成器|Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
fr,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-fr,Ai Design Agent | Lovart,features-ai-design-agent-fr,Agent IA Lovart : branding et workflow créatif autonome,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
it,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-it,Agente di progettazione AI | Branding autonomo e flusso di l,features-ai-design-agent-it,Agente IA Lovart: branding autonomo e flusso creativo,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
ja,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ja,AIデザインエージェント |自律的なブランディングとクリエイティブ ワークフロー |ロヴァート,features-ai-design-agent-ja,AIデザインエージェント：自律ブランディングと創造的ワークフロー,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
ko,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ko,AI 디자인 에이전트 | 자율적인 브랜딩 및 크리에이티브 워크플로우 | 로바트,features-ai-design-agent-ko,AI 디자인 에이전트: 자동 브랜딩 & 창작 워크플로우 | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
pt,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-pt,Agente de design de IA | Branding autônomo e fluxo de trabal,features-ai-design-agent-pt,Agente de Design com IA: Fluxo Criativo e Marca Autônoma | L,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
ru,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a-ru,Агент по разработке искусственного интеллекта | Автономный б,features-ai-design-agent-ru,ИИ-дизайнер: автономный брендинг и креатив | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
de,ai-mockup-generator,ai-mockup-generator-de,KI-Mockup-Generator: Erstelle fotorealistische Produktszenen,tools-ai-mockup-generator-de,Ai Mockup Generator | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
en,ai-mockup-generator,ai-mockup-generator-en,AI Mockup Generator: Create Photorealistic Product Scenes | ,tools-ai-mockup-generator-en,mockup 生成器 | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
en,ai-product-image-generator,tools-ai-product-image-generator-en,AI Product Image Generator | PDP & Marketplace Visuals | Lov,ai-product-image-generator-en,AI Google Shopping Feed Image Generator: Create Compliant Pr,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
ja,create-videos-from-images-or-text-seedance,bea97c568706424eb0ffe290e6f1a71b-ja,create videos from images or text seedance | Lovart,features-create-videos-from-images-or-text-seedance-ja,画像やテキストから動画生成「Seedance 2.0」｜Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
zh-TW,brochure-design,composite-brochure-design-zh-TW,Professional Brochure Design Made Simple — AI Brochure Maker,features-brochure-design-zh-TW,Brochure Design | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
fr,ai-business-card-maker,tools-ai-business-card-maker-fr,Ai Business Card Maker | Lovart,features-ai-business-card-maker-fr,chef 商务 卡片 设计 | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
it,ai-business-card-maker,tools-ai-business-card-maker-it,Ai Business Card Maker | Lovart,features-ai-business-card-maker-it,chef 商务 卡片 设计 | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
it,ai-facebook-poster-generator,features-ai-facebook-poster-generator-it,Generatore di poster Facebook IA | Lovart,features-ai-facebook-poster-generator-pt,AI Facebook Poster Generator | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
fr,ai-mockup-generator,features-ai-mockup-generator-fr,Générateur de maquettes IA : créez des scènes réalistes | Lo,tools-ai-mockup-generator-fr,Ai Mockup Generator | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
it,ai-mockup-generator,features-ai-mockup-generator-it,Generatore di mockup IA: scene prodotto fotorealistiche | Lo,tools-ai-mockup-generator-it,Ai Mockup Generator | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
ru,ai-mockup-generator,features-ai-mockup-generator-ru,Генератор мокапов ИИ: фотореалистичные сцены | Lovart,tools-ai-mockup-generator-ru,Ai Mockup Generator | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
zh-TW,ai-mockup-generator,features-ai-mockup-generator-zh-TW,Ai Mockup Generator | Lovart,tools-ai-mockup-generator-zh-TW,Ai Mockup Generator | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
fr,ai-picture-generator,features-ai-picture-generator-fr,affiliate ads 生成器 | Lovart,tools-ai-picture-generator-fr,Générateur d'Images IA | Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
ja,ai-picture-generator,features-ai-picture-generator-ja,affiliate ads 生成器 | Lovart,tools-ai-picture-generator-ja,AI画像生成|Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
zh-TW,ai-picture-generator,features-ai-picture-generator-zh-TW,Lovart AI圖片生成器：專業視覺與文字創作,tools-ai-picture-generator-zh-TW,AI 圖片生成器|Lovart,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
fr,ai-video-generator,features-ai-video-generator-fr,"Créez des vidéos IA avec Sora 2, Veo 3 & Kling | Lovart",tools-ai-video-generator-fr,Générateur vidéo IA | Transformez des images et du texte en ,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
it,ai-video-generator,tools-ai-video-generator-it,Generatore video AI | Trasforma immagini e testo in video | ,features-ai-video-generator-it,"Generatore video IA: crea con Sora 2, Veo 3 & Kling | Lovart",MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
ja,ai-video-generator,features-ai-video-generator-ja,Sora 2、Veo 3、Klingで動画生成｜Lovart,tools-ai-video-generator-ja,AI Video Generator |画像とテキストをビデオに変換 |ロヴァート,MOVE TO DRAFTS: secondary _id 移到 drafts (不删); primary 保留
