language,slug,KEEP_id,KEEP_title,KEEP_lang_match,KEEP_desc_len,MOVE_id,MOVE_title,MOVE_lang_match,MOVE_desc_len,action
zh,ai-avatar-generator,21dd4b6c-e23a-4440-ae85-b234c9ca57ac,AI 头像生成器 | 一键创建专业虚拟形象与数字人 | Lovart,True,75,tools-ai-avatar-generator-zh,AI 虚拟形象生成器 | Lovart,True,27,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
zh-TW,ai-avatar-generator,21dd4b6c-e23a-4440-ae85-b234c9ca57ac,AI頭像生成器 |創建會說話的頭像和虛擬角色 |洛瓦特,True,50,tools-ai-avatar-generator-zh-TW,AI 虛擬形象生成器|Lovart,True,34,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
fr,ai-design-agent,features-ai-design-agent-fr,Agent IA Lovart : branding et workflow créatif autonome,True,218,73328639-b683-4758-9516-66f864b97d9a,Ai Design Agent | Lovart,False,69,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
it,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a,Agente di progettazione AI | Branding autonomo e flusso di l,False,167,features-ai-design-agent-it,Agente IA Lovart: branding autonomo e flusso creativo,False,186,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
ja,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a,AIデザインエージェント |自律的なブランディングとクリエイティブ ワークフロー |ロヴァート,True,89,features-ai-design-agent-ja,AIデザインエージェント：自律ブランディングと創造的ワークフロー,True,82,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
ko,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a,AI 디자인 에이전트 | 자율적인 브랜딩 및 크리에이티브 워크플로우 | 로바트,True,105,features-ai-design-agent-ko,AI 디자인 에이전트: 자동 브랜딩 & 창작 워크플로우 | Lovart,True,92,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
pt,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a,Agente de design de IA | Branding autônomo e fluxo de trabal,True,172,features-ai-design-agent-pt,Agente de Design com IA: Fluxo Criativo e Marca Autônoma | L,True,212,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
ru,ai-design-agent,73328639-b683-4758-9516-66f864b97d9a,Агент по разработке искусственного интеллекта | Автономный б,True,224,features-ai-design-agent-ru,ИИ-дизайнер: автономный брендинг и креатив | Lovart,True,155,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
de,ai-mockup-generator,ai-mockup-generator-de,KI-Mockup-Generator: Erstelle fotorealistische Produktszenen,False,144,tools-ai-mockup-generator-de,Ai Mockup Generator | Lovart,False,91,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
en,ai-mockup-generator,ai-mockup-generator-en,AI Mockup Generator: Create Photorealistic Product Scenes | ,True,160,tools-ai-mockup-generator-en,mockup 生成器 | Lovart,True,26,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
en,ai-product-image-generator,tools-ai-product-image-generator-en,AI Product Image Generator | PDP & Marketplace Visuals | Lov,True,144,ai-product-image-generator-en,AI Google Shopping Feed Image Generator: Create Compliant Pr,True,107,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
ja,create-videos-from-images-or-text-seedance,features-create-videos-from-images-o,画像やテキストから動画生成「Seedance 2.0」｜Lovart,True,72,bea97c568706424eb0ffe290e6f1a71b-ja,create videos from images or text seedance | Lovart,False,79,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
zh-TW,brochure-design,composite-brochure-design-zh-TW,Professional Brochure Design Made Simple — AI Brochure Maker,False,257,features-brochure-design-zh-TW,Brochure Design | Lovart,False,52,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
fr,ai-business-card-maker,features-ai-business-card-maker-fr,chef 商务 卡片 设计 | Lovart,False,96,tools-ai-business-card-maker-fr,Ai Business Card Maker | Lovart,False,76,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
it,ai-business-card-maker,features-ai-business-card-maker-it,chef 商务 卡片 设计 | Lovart,False,86,tools-ai-business-card-maker-it,Ai Business Card Maker | Lovart,False,53,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
it,ai-facebook-poster-generator,features-ai-facebook-poster-generato,Generatore di poster Facebook IA | Lovart,False,151,features-ai-facebook-poster-generato,AI Facebook Poster Generator | Lovart,False,101,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
fr,ai-mockup-generator,features-ai-mockup-generator-fr,Générateur de maquettes IA : créez des scènes réalistes | Lo,True,150,tools-ai-mockup-generator-fr,Ai Mockup Generator | Lovart,False,73,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
it,ai-mockup-generator,features-ai-mockup-generator-it,Generatore di mockup IA: scene prodotto fotorealistiche | Lo,False,118,tools-ai-mockup-generator-it,Ai Mockup Generator | Lovart,False,50,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
ru,ai-mockup-generator,features-ai-mockup-generator-ru,Генератор мокапов ИИ: фотореалистичные сцены | Lovart,True,135,tools-ai-mockup-generator-ru,Ai Mockup Generator | Lovart,False,0,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
zh-TW,ai-mockup-generator,features-ai-mockup-generator-zh-TW,Ai Mockup Generator | Lovart,False,56,tools-ai-mockup-generator-zh-TW,Ai Mockup Generator | Lovart,False,0,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
fr,ai-picture-generator,tools-ai-picture-generator-fr,Générateur d'Images IA | Lovart,True,185,features-ai-picture-generator-fr,affiliate ads 生成器 | Lovart,False,100,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
ja,ai-picture-generator,features-ai-picture-generator-ja,affiliate ads 生成器 | Lovart,True,54,tools-ai-picture-generator-ja,AI画像生成|Lovart,True,78,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
zh-TW,ai-picture-generator,features-ai-picture-generator-zh-TW,Lovart AI圖片生成器：專業視覺與文字創作,True,71,tools-ai-picture-generator-zh-TW,AI 圖片生成器|Lovart,True,32,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
fr,ai-video-generator,tools-ai-video-generator-fr,Générateur vidéo IA | Transformez des images et du texte en ,True,214,features-ai-video-generator-fr,"Créez des vidéos IA avec Sora 2, Veo 3 & Kling | Lovart",True,156,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
it,ai-video-generator,tools-ai-video-generator-it,Generatore video AI | Trasforma immagini e testo in video | ,False,205,features-ai-video-generator-it,"Generatore video IA: crea con Sora 2, Veo 3 & Kling | Lovart",False,140,PATCH: 设置 KEEP=_id 为主权威 + 调整 draft flag 或设置 publishedAt; MOVE=_id 移到 drafts (不删)
