tier,age_days,staleness_days,type,language,slug,title,publishedAt,updatedAt,recovery_action
tier3-audit,520,2,compositePage,en,ai-creative-suite-enterprise,AI Creative Suite Enterprise: Professional creative suite enterprise with AI | Lovart,2025-02-09,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,637,2,compositePage,en,ai-model-generator,AI Model Generator: Professional model generator with AI | Lovart,2024-10-15,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,435,2,compositePage,en,ai-design-api,AI Design Api: Professional design api with AI | Lovart,2025-05-05,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,469,2,compositePage,en,ai-text-to-video-api,AI Text to Video Api: Professional text to video api with AI | Lovart,2025-04-01,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,483,2,compositePage,en,ai-banner-maker-free,AI Banner Maker Free: Professional banner maker free with AI | Lovart,2025-03-18,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,452,2,compositePage,en,ai-content-format-converter,AI Content Format Converter: Professional content format converter with AI | Lovart,2025-04-18,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,466,2,compositePage,en,ai-carousel-ad-maker,AI Carousel ad Maker: Professional carousel ad maker with AI | Lovart,2025-04-04,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,629,2,compositePage,en,ai-image-to-sketch,AI Image to Sketch: Professional image to sketch with AI | Lovart,2024-10-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,654,1,compositePage,en,ai-storefront-designer,AI Storefront Designer: Professional storefront designer with AI | Lovart,2024-09-28,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,615,2,compositePage,en,ai-face-swap-free,AI Face Swap Free: Professional face swap free with AI | Lovart,2024-11-06,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,644,1,compositePage,en,ai-picture-generator,AI Picture Generator: Create Original Images from Text | Lovart,2024-10-08,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,525,1,compositePage,en,ai-image-generator-for-social-media,AI Image Generator For Social Media: Professional image generator for social media with AI | Lovart,2025-02-04,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,672,1,compositePage,en,ai-video-to-gif,AI Video to Gif: Professional video to gif with AI | Lovart,2024-09-10,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,461,2,compositePage,en,ai-video-stabilizer,AI Video Stabilizer: Professional video stabilizer with AI | Lovart,2025-04-09,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,537,2,compositePage,en,ai-video-generator-for-tiktok,AI Video Generator For Tiktok: Professional video generator for tiktok with AI | Lovart,2025-01-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,390,13,blog,it,ai-collage-moodboard-tools-compared-it,Creatori di collage e moodboard AI a confronto: Milanote vs Moodzer vs Lovart,2025-06-20,2026-07-01,"C.已维护: 保留, 监控"
tier3-audit,390,13,blog,it,ai-design-2028-5-predictions-lovart-team-it,AI Design 2028: 5 pronostici dal Team Lovart,2025-06-20,2026-07-01,"C.已维护: 保留, 监控"
tier3-audit,485,2,compositePage,en,ai-baby-face-generator,AI Baby Face Generator: Professional baby face generator with AI | Lovart,2025-03-16,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,659,2,compositePage,en,ai-video-cutter,AI Video Cutter: Professional video cutter with AI | Lovart,2024-09-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,652,2,compositePage,en,ai-social-media-calendar,AI Social Media Calendar: Professional social media calendar with AI | Lovart,2024-09-30,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,521,2,compositePage,en,ai-creative-tool-for-individuals,AI Creative Tool For Individuals: Professional creative tool for individuals with AI | Lovart,2025-02-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,620,2,compositePage,en,ai-image-colorizer,AI Image Colorizer: Professional image colorizer with AI | Lovart,2024-11-01,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,465,2,compositePage,en,best-ai-design-tool-2026,Best AI Design Tool 2026: Professional best ai design tool 2026 with AI | Lovart,2025-04-05,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,487,2,compositePage,en,ai-ad-generator-for-business,AI ad Generator For Business: Professional ad generator for business with AI | Lovart,2025-03-14,2026-07-12,"C.已维护: 保留, 监控"
